Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
Camp Point,2,7,1137764.18,1034965.26,32120.06,26980.09,5139.97,"1,136"
Freeport,27,131,86629692.28,79224351.18,2332359.84,1962073.83,370286.01,"24,300"
Waukegan,56,272,272080786.35,248672639.83,7373559.38,6203097.77,1170461.61,"87,571"
Bulpitt,2,10,4678033.49,4280482.57,125411.95,105534.26,19877.69,199
Elgin,34,157,91828929.21,84194220.72,2406380.52,2024640.62,381739.9,"113,023"
Plano,12,53,25367858.25,23186825.5,688342.56,579287.25,109055.31,"11,766"
Woodson,1,5,2453228.68,2237977.14,67401.18,56638.61,10762.57,404
Danvers,1,3,1776882.58,1643347.72,42011.02,35334.22,6676.8,"1,108"
Pearl City,2,8,1460740.03,1334129.57,39818.09,33487.52,6330.57,785
Waltonville,1,5,3057386.13,2836611.22,69411.98,58373.22,11038.76,418
Lindenhurst,4,20,15382978.41,14057972.89,418802.45,352552.09,66250.36,"14,495"
Addieville,1,5,939917.34,860520.6,25020.09,21050.2,3969.89,344
Chillicothe,15,71,33421881.72,30856947.55,806325.16,678069.42,128255.74,"6,135"
Reddick,1,3,779399.67,715272.91,20234.11,17027.74,3206.37,222
Kankakee,43,202,118651105.91,108991766.22,3037728.71,2554743.19,482985.52,"25,884"
Curran,1,5,1624766.27,1487029.01,43393.58,36506.7,6886.88,252
Vienna,5,25,7680209.31,7040228.42,200784.25,168784.91,31999.34,"1,490"
Coal City,7,31,14901638.76,13650894.98,393866.06,331322.47,62543.59,"5,427"
Tilton,9,44,43692585.86,40037031.22,1152294.26,969501.39,182792.87,"2,621"
Hometown,6,30,39824844.16,36361501.47,1092659.59,919442.9,173216.69,"4,308"
Washburn,2,9,891209.21,811044.13,25456.16,21447.86,4008.3,"1,097"
Madison,14,68,42706133.27,39009308.95,1163085.96,978215.93,184870.03,"3,714"
Harvey,17,81,28091889.66,25683461.72,761795.62,641370.05,120425.57,"24,599"
Glenwood,9,46,23517284.89,21497696.76,634960.92,533978.66,100982.26,"8,766"
South Beloit,16,81,79723165.49,73061977.47,2097168.31,1764112.4,333055.91,"7,827"
Pingree Grove,3,15,15071730.37,13892774.06,370270.92,311322.91,58948.01,"7,337"
Brighton,1,4,1870661.86,1718992.95,48018.51,40435.06,7583.45,"2,215"
Leaf River,2,7,1078825.12,993109.85,26953.22,22667.41,4285.81,548
Altona,1,5,2129453.92,1972241.17,49928.81,42068.13,7860.68,642
New Milford,4,20,12775819.15,11758817.98,319499.15,268649.03,50850.12,682
East Brooklyn,1,5,1803718.32,1659953.27,45556.05,38367.75,7188.3,90
East Gillespie,2,10,4328453.44,3975497.58,110817.56,93169.72,17647.84,214
Downs,3,11,3854443.93,3556439.0,92951.81,78051.52,14900.29,886
Cary,10,48,22830101.79,20871099.43,618077.65,520126.39,97951.26,"17,871"
London Mills,2,8,2143077.16,1981952.17,50655.7,42599.27,8056.43,374
St. Jacob,1,5,1177863.39,1099891.77,24373.57,20474.95,3898.62,"1,392"
Algonquin,18,79,29890609.87,27240118.25,833252.7,700727.37,132525.33,"30,709"
Carbon Cliff,2,10,3426751.9,3118819.26,96649.36,81252.64,15396.72,"1,893"
Mapleton,1,5,534923.64,497817.67,12244.99,10389.68,1855.31,295
Third Lake,3,11,6211940.6,5685811.88,166101.9,139795.28,26306.62,"1,133"
Benson,1,4,1839017.78,1704556.58,42092.75,35369.68,6723.07,496
