athlete_id,Athlete,Country,Gender
398,"TURNER, R.R.",GBR,Men
399,"ZEALLEY, James Edward",GBR,Men
400,"ALLEMANE, Pierre",FRA,Men
401,BACH,FRA,Men
402,"BLOCH, Jean",FRA,Men
403,"CANELLE, Fernand",FRA,Men
404,DUPARC,FRA,Men
405,FRAYSSE,FRA,Men
406,GAILLARD,FRA,Men
407,"GARNIER, René",FRA,Men
408,GRANDJEAN,FRA,Men
409,HUTEAU,FRA,Men
410,LAMBERT,FRA,Men
411,MACAIRE,FRA,Men
412,PELTIER,FRA,Men
413,"ROBERTSON, David Donaldson",GBR,Men
414,"SANDS, Charles Edward",USA,Men
415,"RUTHERFORD, Walter",GBR,Men
416,"PRATT, Daria",USA,Women
417,"ABBOTT, Margaret Ives",USA,Women
418,"WHITTIER, Pauline",USA,Women
419,"DEMANET, Lucien",FRA,Men
420,"SANDRAS, Gustave",FRA,Men
421,"BAS, Noël",FRA,Men
422,"BOUSSOD, Jean",ZZX,Men
423,"DUC DE BISACCIA, Louis",ZZX,Men
424,"FAUQUET LEMAITRE, A.",ZZX,Men
425,"RAOUL-DUVAL, Maurice",ZZX,Men
426,"DALY, Dennis",ZZX,Men
427,"KEENE, Foxhall Parker",ZZX,Men
428,"MACKEY, Frank Jay",ZZX,Men
429,"RAWLINSON, Alfred",ZZX,Men
430,"BUCKMASTER, Walter Selby",ZZX,Men
431,"COMTE DE MADRE, José Pierre M.J.",ZZX,Men
432,"FREAKE, Frederick Maitland",ZZX,Men
433,"MCCREERY, Walter Adolph",ZZX,Men
434,"BRANDT, Francois Antoine",NED,Men
435,"BROCKMANN, Hermanus Gerardus",NED,Men
436,"KLEIN, Roelof",NED,Men
437,"LEEGSTRA, Ruud Gerbens",NED,Men
438,"MIDDELBERG, Walter",NED,Men
439,"OFFERHAUS, Hendrik Karel",NED,Men
440,"THIJSSEN, Walter",NED,Men
441,"TROMP, Henricus",NED,Men
442,"VAN DIJK, Johannes Wilhelmus Maria",NED,Men
443,"ABELL, Louis",USA,Men
444,"CARR, William",USA,Men
445,"DEBAECKE, Harry",USA,Men
446,"EXLEY, John",USA,Men
447,"GEIGER, John",USA,Men
448,"HEDLEY, Edward",USA,Men
449,"JUVENAL, James",USA,Men
450,"LOCKWOOD, Roscoe",USA,Men
451,"MARSH, Edward",USA,Men
452,"BRUGGEMAN, Prospère",BEL,Men
453,"DE BISSCHOP, Jules",BEL,Men
454,"DE COCK, Oscar",BEL,Men
455,"DE SOMVILLE, Oscar Charles",BEL,Men
456,"HEMELSOET, Maurice",BEL,Men
457,"ODBERG, Frank",BEL,Men
458,"VAN CROMBRUGGHE, Marcel Lucien",BEL,Men
459,"VAN LANDEGHEM, Alfred",BEL,Men
460,"VERDONCK, Maurice",BEL,Men
461,"CARSTENS, Wilhelm",GER,Men
462,"FELLE, Ernst",GER,Men
463,"FICKEISEN, Otto",GER,Men
464,"KÖRNER, Julius",GER,Men
465,"KRÖWERATH, Franz",GER,Men
466,"LEHLE, Carl",GER,Men
467,"MÖLLER, Adolf",GER,Men
468,"MOTHS, Gustav Adolf",GER,Men
469,"RÜSTER, Hugo",GER,Men
470,"WILKER, Hermann",GER,Men
471,"BOUCKAERT, Henri",FRA,Men
472,"CAU, Jean",FRA,Men
473,CHARLOT,FRA,Men
474,"DELCHAMBRE, Emile",FRA,Men
475,"GOSSLER, Carl Heinrich",GER,Men
476,"GOSSLER, Gustav Ludwig",GER,Men
477,"GOSSLER, Oscar",GER,Men
478,"HAZEBROUCK, Henri",FRA,Men
479,"KATZENSTEIN, Walther",GER,Men
480,"TIETGENS, Waldemar",GER,Men
481,"BROCKMANN, Hermanus Gerardus",NED,Men
482,"HIEBENDAAI, Coenraad Christiaan",NED,Men
483,"LOTSY, Gerhard Oswald",NED,Men
484,"LOTSY, Paulus Jan",NED,Men
485,"LUMPP, Georges",FRA,Men
486,"PERRIN, Charles",FRA,Men
487,"SOUBEYRAN, Daniel",FRA,Men
488,"TERWOGT, Johannes Hester Lambertus",NED,Men
489,"WEGELIN, Emile",FRA,Men
490,"DELTOUR, Carlos",FRA,Men
491,"PAOLI, Raoul",FRA,Men
492,"VEDRENNE, Antoine Erneste",FRA,Men
493,"BRANDT, Francois Antoine",ZZX,Men
494,"BROCKMANN, Hermanus Gerardus",ZZX,Men
495,"KLEIN, Roelof",ZZX,Men
496,"MARTINET, Louis",FRA,Men
497,UNKNOWN COX / BARREUR INCONNU,FRA,Men
498,WALEFF,FRA,Men
499,"ASHE, Saint-George",GBR,Men
500,"BARRELET, Henri",FRA,Men
501,"GAUDIN, André",FRA,Men
502,"AITOFF, Vladimir",FRA,Men
503,"ALBERT, A.",FRA,Men
504,"BINOCHE, Jean, LÃ©on",FRA,Men
505,"COLLAS, Jean",FRA,Men
506,"GAUTIER, Jean Guy",FRA,Men
507,"GIROUX, Auguste",FRA,Men
508,"GONDOUIN, Charles",FRA,Men
509,"HENRIQUEZ DE ZUBIERRA, Constantin",FRA,Men
510,"HERVE, Jean",FRA,Men
511,"LARDANCHET, Victor",FRA,Men
512,"LEFEBVRE, Hubert",FRA,Men
513,"OLIVIER, Joseph",FRA,Men
514,"PHARAMOND, Alexandre",FRA,Men
515,"REICHEL, Frantz",FRA,Men
516,"RISCHMANN, André",FRA,Men
517,"ROOSEVELT, Albert",FRA,Men
518,"SARRADE, Emile",FRA,Men
519,"AMRHEIN, Albert",GER,Men
520,"BAYLISS, F.C.",GBR,Men
521,"BETTING, Hugo",GER,Men
522,"BIRTLES, J.Henry",GBR,Men
523,"CAUTLON, J.",GBR,Men
524,"DARBY, Artur John",GBR,Men
525,"DEYKIN, C.P.",GBR,Men
526,"HERRMANN, Jacob",GER,Men
527,"HOFMEISTER, Willy",GER,Men
528,"HOOD, L.",GBR,Men
529,"KREUZER, Hermann",GER,Men
530,"LANDVOIGT, Arnold",GER,Men
531,"LATSCHA, Hans",GER,Men
532,"LOGAN, M.L.",GBR,Men
533,"LOVEITT, H.A.",GBR,Men
534,"LUDWIG, Erich",GER,Men
535,"LUDWIG, Richard",GER,Men
536,"MÜLLER, Fritz",GER,Men
537,"NICOL, N.S.",GBR,Men
538,"POPPE, Eduard",GER,Men
539,"REITZ, Heinrich",GER,Men
540,"SCHMIERER, August",GER,Men
541,"SMITH, V.",GBR,Men
542,"STOCKHAUSEN, Adolf",GER,Men
543,"TALBOT, M.W.",GBR,Men
544,"WALLIS, J.G.",GBR,Men
545,"WENDEROTH, Georg",GER,Men
546,"WHITTINDALE, Claud",GBR,Men
547,"WHITTINDALE, Raymond",GBR,Men
548,"WILSON, Francis Henry",GBR,Men
549,"MICHELET, E.",FRA,Men
550,"MICHELET, F.",FRA,Men
551,"GRETTON, John H.",GBR,Men
552,"HOPE, Linton",GBR,Men
553,"LORD CURRIE, Lorne Campbell",GBR,Men
554,"BAUDRIER, Jacques",FRA,Men
555,"LEBRET, Jean",FRA,Men
556,MARCOTTE,FRA,Men
557,"MARTIN, William",FRA,Men
558,VALTON,FRA,Men
559,"HORE, Edward",GBR,Men
560,"BILLARD, Emile",FRA,Men
561,"PERQUER, P.",FRA,Men
562,"LE DUC DECAZES, Jean",FRA,Men
563,"MACHENRY, M.",USA,Men
564,"TAYLOR, Howard",GBR,Men
565,"GUFFLET, Maurice",FRA,Men
566,"MICHELET, E.",FRA,Men
567,"MICHELET, F.",FRA,Men
568,"GRETTON, John H.",GBR,Men
569,"HOPE, Linton",GBR,Men
570,"LORD CURRIE, Lorne Campbell",GBR,Men
571,"NAUE, Georg",GER,Men
572,"PETERS, Heinrich",GER,Men
573,"WEISE, Ottokar",GER,Men
574,"WIESNER, Martin",GER,Men
575,"BALME, Eugène",FRA,Men
576,"LARROUY, Maurice",FRA,Men
577,"MOREAUX, Léon",FRA,Men
578,"BOUWENS, Antonius",NED,Men
579,"SILLEM, Henrik",NED,Men
580,"SWEYS, Anthony Ahasuerus",NED,Men
581,"VAN DEN BERGH, Solko Johannes",NED,Men
582,"VAN HAAN, Gerardus",NED,Men
583,"LÜTHI, Friedrich",SUI,Men
584,"PROBST, Paul",SUI,Men
585,"RICHARDET, Louis-Marc",SUI,Men
586,"RÖDERER, Karl Konrad",SUI,Men
587,"STÄHELI, Konrad",SUI,Men
588,"DUFFOY, Louis",FRA,Men
589,"LECOQ, Maurice",FRA,Men
590,"MOREAUX, Léon",FRA,Men
591,"PAROCHE, Achille",FRA,Men
592,TRINITE,FRA,Men
593,"STÄHELI, Konrad",SUI,Men
594,"RÖDERER, Karl Konrad",SUI,Men
595,"PAROCHE, Achille",FRA,Men
596,"ÖSTMO, Ole",NOR,Men
597,"VAN ASBROECK, Paul",BEL,Men
598,"KELLENBERGER, Emil",SUI,Men
599,"NIELSEN, Anders Peter",DEN,Men
600,"STÄHELI, Konrad",SUI,Men
601,"KELLENBERGER, Emil",SUI,Men
602,"NIELSEN, Anders Peter",DEN,Men
603,"ÖSTMO, Ole",NOR,Men
604,"PAROCHE, Achille",FRA,Men
605,"NIELSEN, Anders Peter",DEN,Men
606,"PAUMIER DU VERGIER, Charles",BEL,Men
607,"MADSEN, Lars Jörgen",DEN,Men
608,"ÖSTMO, Ole",NOR,Men
609,"CAVADINI, Auguste",FRA,Men
610,"LECOQ, Maurice",FRA,Men
611,"MOREAUX, Léon",FRA,Men
612,"PAROCHE, Achille",FRA,Men
613,"THOMAS, René",FRA,Men
614,"BÖCKLI, Franz",SUI,Men
615,"GRÜTER, Alfred",SUI,Men
616,"KELLENBERGER, Emil",SUI,Men
617,"RICHARDET, Louis-Marc",SUI,Men
618,"STÄHELI, Konrad",SUI,Men
619,"FRYDENLUND, Olaf Emil",NOR,Men
620,"HERMANDSEN, Hellmer",NOR,Men
621,"ÖSTMO, Ole",NOR,Men
622,"SAETHER, Ole Andreas",NOR,Men
623,"SEEBERG, Tom",NOR,Men
624,"DE CLARY, Justinien",FRA,Men
625,"DE BARBARIN, Roger",FRA,Men
626,"GUYOT, René",FRA,Men
627,"DE LA CHAPELLE, Georges",FRA,Men
628,"MAHONY, Harold Sergerson",GBR,Men
629,"NORRIS, Arthur B.J.",GBR,Men
630,"PREVOST, André",FRA,Men
631,"DOHERTY, Hugh Lawrence",GBR,Men
632,"DOHERTY, Reginald Frank",GBR,Men
633,"DE GARMENDIA, Basil Spalding",ZZX,Men
634,"DECUGIS, Max",ZZX,Men
635,"DOHERTY, Hugh Lawrence",ZZX,Men
636,"WARDEN, Archibald A.",ZZX,Men
637,"DOHERTY, Reginald Frank",GBR,Men
638,"MAHONY, Harold Sergerson",ZZX,Men
